metro_area_city,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,average_listing_price,total_listing_count,year
"crawfordsville, in",142928.869,126,64.16666667,51.33333333,0,31,58.91666667,182458.4187,184.9166667,2019
"crescent city, ca",363675,118.25,92.70833333,25.66666667,0.666666667,23.33333333,39.83333333,460186.8755,158.0833333,2019
"crestview-fort walton beach-destin, fl",424248.4464,2867,90.5,742.3333333,84.33333333,607,2.416666667,719700.7023,2869.416667,2019
"crossville, tn",247298.7024,426.1666667,76.125,125.3333333,1,65.66666667,176.1666667,289818.9297,602.3333333,2019
"cullman, al",233321.5476,668.5833333,90.41666667,136,3,89,52.16666667,333965.7078,720.75,2019
"cullowhee, nc",412158.0952,833.8333333,145.125,125.3333333,3.333333333,90.66666667,144.9166667,647926.0212,978.75,2019
"cumberland, md-wv",118763.0952,432.25,107.2916667,78,0.666666667,88,41.58333333,147021.8437,473.8333333,2019
"dallas-fort worth-arlington, tx",347887.7679,21799.16667,54.25,9386,742.3333333,9144,11161.75,487881.0604,32960.91667,2019
"dalton, ga",191181.5476,378.3333333,64.58333333,126.3333333,3,85.66666667,43.75,250428.3014,422.0833333,2019
"danville, il",79035.11905,377.75,86.33333333,71.66666667,0.333333333,65,20.5,112261.0669,398.25,2019
"danville, ky",175776.7857,251.25,80.91666667,70.33333333,0,49.66666667,64.91666667,243418.7572,316.1666667,2019
"danville, va",122382.7381,416,116,74.33333333,0.666666667,65.33333333,42.25,175682.3938,458.25,2019
"daphne-fairhope-foley, al",343220.9941,3216.666667,85.04166667,769.3333333,91,694.3333333,144,445964.1742,3360.666667,2019
"davenport-moline-rock island, ia-il",150400,1767.5,76.20833333,484.3333333,4.333333333,316,826,210998.2707,2593.5,2019
"dayton, oh",161426.0119,2218.25,51.04166667,1040.333333,33.66666667,769.3333333,1622,216634.1653,3840.25,2019
"dayton, tn",223827.381,281.1666667,85.58333333,71.33333333,0.333333333,50,62.58333333,324156.2446,343.75,2019
"decatur, al",192148.1072,410.25,76.08333333,132.3333333,5.333333333,100,2.083333333,234114.6107,412.3333333,2019
"decatur, il",106899.4048,718.4166667,109.375,133.6666667,0,122.6666667,24.91666667,147852.6984,743.3333333,2019
"decatur, in",136667.381,57.16666667,60.25,23,0,14.33333333,4.916666667,147792.4532,62.08333333,2019
