,metro_area/city,Per Capita Income,Pop
439,"klamath falls, or",24534,21753
440,"knoxville, tn",26340,187603
441,"kokomo, in",26398,58020
442,"la crosse-onalaska, wi-mn",32964,35085
443,"la grande, or",24663,13614
444,"laconia, nh",33387,16581
445,"lafayette, la",32998,126185
446,"lafayette-west lafayette, in",23619,61358
447,"lagrange, ga",20494,30305
448,"lake charles, la",29254,78396
449,"lake city, fl",23465,12352
450,"lake havasu city-kingman, az",29682,37226
451,"lakeland-winter haven, fl",26897,78545
452,"lamesa, tx",22062,9147
453,"lancaster, pa",22295,59265
454,"lansing-east lansing, mi",22171,83177
455,"laramie, wy",26255,32711
456,"laredo, tx",18771,262491
457,"las cruces, nm",24103,103432
458,"las vegas, nm",20080,12919
459,"las vegas-henderson-paradise, nv",32886,398225
460,"laurel, ms",21534,18338
461,"laurinburg, nc",18581,15002
462,"lawrence, ks",31228,98193
463,"lawrenceburg, tn",21654,11035
464,"lawton, ok",24482,93025
465,"lebanon, mo",20696,14798
466,"lebanon, pa",19479,25879
467,"levelland, tx",23439,13502
468,"lewisburg, pa",28210,5708
469,"lewisburg, tn",21177,12368
470,"lewiston, id-wa",29325,32788
471,"lewiston-auburn, me",28376,29819
472,"lewistown, pa",21561,8125
473,"lexington, ne",21262,10115
474,"lexington-fayette, ky",34442,323152
475,"liberal, ks",20606,19174
476,"lima, oh",18868,36659
477,"lincoln, il",26519,13524
478,"lincoln, ne",31301,289102
479,"little rock-north little rock-conway, ar",30107,110284
480,"lock haven, pa",19221,9083
481,"logan, ut-id",19274,51542
482,"logan, wv",21936,32019
483,"logansport, in",19927,17584
484,"london, ky",24604,8068
485,"longview, tx",26318,81631
486,"longview, wa",27707,38440
487,"los alamos, nm",60885,12019
488,"los angeles-long beach-anaheim, ca",32016,1597523
489,"louisville/jefferson county, ky-in",30943,617638
490,"lubbock, tx",27496,258862
491,"ludington, mi",28321,8108
492,"lufkin, tx",23489,35021
493,"lumberton, nc",20108,20484
494,"lynchburg, va",23863,82168
495,"macomb, il",21063,17413
496,"macon, ga",17883,12947
497,"madera, ca",17866,65860
498,"madison, in",24156,11861
499,"madison, wi",38285,259680
500,"madisonville, ky",24158,18621
501,"magnolia, ar",20020,11467
502,"malone, ny",24163,5600
503,"malvern, ar",19968,10931
504,"manchester-nashua, nh",35897,101014
505,"manhattan, ks",26640,54604
506,"manitowoc, wi",27826,32579
507,"mankato-north mankato, mn",31485,28439
508,"mansfield, oh",20452,46599
509,"marietta, oh",27820,13356
510,"marinette, wi-mi",27021,10539
511,"marion, in",18867,27930
512,"marion, nc",18178,7891
513,"marion, oh",18801,35883
514,"marquette, mi",25601,20995
515,"marshall, mn",27571,13487
516,"marshall, mo",20279,12841
517,"marshall, tx",21090,22831
518,"marshalltown, ia",24600,26666
519,"martin, tn",18576,10484
520,"martinsville, va",22836,12554
521,"maryville, mo",19215,11599
522,"mason city, ia",30429,26931
523,"mayfield, ky",18534,9817
524,"maysville, ky",26507,8728
525,"mcalester, ok",24512,17814
526,"mcallen-edinburg-mission, tx",21760,109589
527,"mccomb, ms",13607,13013
528,"mcminnville, tn",21858,13769
529,"mcpherson, ks",31683,13061
530,"meadville, pa",23670,12655
531,"medford, or",27061,83072
532,"memphis, tn-ms-ar",25605,651073
533,"menomonie, wi",22934,16551
534,"merced, ca",20488,83676
535,"meridian, ms",23116,36347
536,"merrill, wi",26955,9048
537,"mexico, mo",22133,11517
538,"miami, ok",19464,13088
539,"miami-fort lauderdale-west palm beach, fl",35305,254118
540,"michigan city-la porte, in",21909,26292
541,"middlesborough, ky",14632,9084
542,"midland, mi",37878,41701
543,"midland, tx",40252,146038
544,"milledgeville, ga",15928,18704
545,"milwaukee-waukesha-west allis, wi",28892,240782
546,"mineral wells, tx",21171,15213
547,"minneapolis-st. paul-bloomington, mn-wi",37062,274215
548,"minot, nd",35367,47382
549,"missoula, mt",30810,75516
550,"mitchell, sd",30367,15679
551,"moberly, mo",18379,13615
552,"mobile, al",27218,188720
553,"modesto, ca",27358,215196
554,"monroe, la",21532,47294
555,"monroe, mi",25204,19552
556,"montgomery, al",28191,198525
557,"montrose, co",27858,19782
558,"morehead city, nc",33780,9619
559,"morgan city, la",23159,10742
560,"morgantown, wv",25661,30549
561,"morristown, tn",19482,30193
562,"moscow, id",24041,25702
563,"moses lake, wa",25476,24086
564,"moultrie, ga",18771,14211
565,"mount airy, nc",28224,10208
566,"mount pleasant, mi",19984,24797
567,"mount pleasant, tx",19893,15978
568,"mount sterling, ky",20911,7231
569,"mount vernon, il",26267,14723
570,"mount vernon, oh",22881,16769
571,"mount vernon-anacortes, wa",34082,26766
572,"mountain home, ar",27919,12569
573,"mountain home, id",22992,14562
574,"muncie, in",20386,67999
575,"murray, ky",18749,19327
576,"muscatine, ia",26435,23631
577,"muskegon, mi",17495,36565
578,"muskogee, ok",22107,37113
579,"myrtle beach-conway-north myrtle beach, sc-nc",31149,25823
580,"nacogdoches, tx",21671,32877
581,"napa, ca",40414,78130
582,"naples-immokalee-marco island, fl",63718,21396
583,"nashville-davidson--murfreesboro--franklin, tn",38063,300272
584,"natchez, ms-la",18596,14615
585,"natchitoches, la",16392,17485
586,"new bern, nc",29459,29994
587,"new castle, in",20539,17113
588,"new castle, pa",20522,21618
589,"new haven-milford, ct",38233,91722
590,"new orleans-metairie, la",33941,264312
591,"new philadelphia-dover, oh",27536,15066
592,"new ulm, mn",31924,13212
593,"new york-newark-jersey city, ny-nj-pa",34004,2960301
594,"newberry, sc",20091,10199
595,"newport, or",27653,10853
596,"newport, tn",13951,6884
597,"newton, ia",25265,15182
598,"niles-benton harbor, mi",17819,10445
599,"nogales, az",17769,20103
600,"norfolk, ne",28400,24449
601,"north platte, ne",28348,23639
602,"north port-sarasota-bradenton, fl",32586,62816
603,"north vernon, in",26730,6702
604,"north wilkesboro, nc",17517,4194
605,"norwalk, oh",24414,16867
606,"norwich-new london, ct",28029,32813
607,"oak harbor, wa",27856,23565
608,"ocala, fl",27340,60786
609,"ocean city, nj",53652,10971
610,"odessa, tx",30470,123334
611,"ogden-clearfield, ut",23330,59945
612,"ogdensburg-massena, ny",23870,10318
613,"oil city, pa",25249,9618
614,"okeechobee, fl",20628,5816
615,"oklahoma city, ok",30567,655057
616,"olean, ny",27396,13437
617,"olympia-tumwater, wa",34655,38453
618,"omaha-council bluffs, ne-ia",30226,270179
619,"oneonta, ny",21945,13907
620,"ontario, or-id",20456,10994
621,"opelousas, la",17040,15911
622,"orangeburg, sc",18570,12654
623,"orlando-kissimmee-sanford, fl",25146,140535
624,"oshkosh-neenah, wi",29745,46652
625,"oskaloosa, ia",27175,11506
626,"othello, wa",20462,8386
627,"ottawa, ks",24444,12254
628,"ottawa-peru, il",30421,13896
629,"ottumwa, ia",24916,24368
630,"owatonna, mn",32725,25704
631,"owensboro, ky",26305,60131
632,"owosso, mi",22947,14441
633,"oxford, ms",28427,28122
634,"oxford, nc",22377,8886
635,"oxnard-thousand oaks-ventura, ca",38537,393900
636,"ozark, al",24698,14284
637,"paducah, ky-il",32097,24865
638,"pahrump, nv",24882,36441
639,"palatka, fl",16292,10451
640,"palestine, tx",20192,17730
641,"palm bay-melbourne-titusville, fl",26048,81720
642,"pampa, tx",25086,17068
643,"panama city, fl",26517,34667
644,"paragould, ar",22949,28986
645,"paris, tn",19104,10056
646,"paris, tx",20638,24847
647,"parkersburg-vienna, wv",28264,19715
648,"parsons, ks",22273,9477
649,"payson, az",31109,15813
650,"pecos, tx",22354,10461
651,"pensacola-ferry pass-brent, fl",25668,34566
652,"peoria, il",31497,110417
653,"peru, in",20733,11023
654,"philadelphia-camden-wilmington, pa-nj-de-md",24387,575930
655,"phoenix-mesa-scottsdale, az",40508,819024
656,"picayune, ms",19651,10904
657,"pierre, sd",33351,13867
658,"pine bluff, ar",18547,41474
659,"pinehurst-southern pines, nc",46774,15638
660,"pittsburg, ks",20056,20050
661,"pittsburgh, pa",34083,300286
662,"pittsfield, ma",31953,42142
663,"plainview, tx",21129,20143
664,"platteville, wi",21127,12087
665,"plattsburgh, ny",25110,19515
666,"plymouth, in",19036,9982
667,"pocatello, id",24366,56637
668,"point pleasant, wv-oh",27631,4146
669,"ponca city, ok",25838,23660
670,"pontiac, il",21858,11253
671,"poplar bluff, mo",18417,16937
672,"port angeles, wa",27297,20229
673,"port clinton, oh",26118,6176
674,"port lavaca, tx",26592,11854
675,"port st. lucie, fl",27546,201846
676,"portales, nm",17807,11610
677,"portland-south portland, me",37628,45873
678,"portland-vancouver-hillsboro, or-wa",36861,316110
679,"portsmouth, oh",22068,20158
680,"pottsville, pa",26130,13475
681,"prescott, az",36111,44299
682,"price, ut",20407,8332
683,"prineville, or",21368,10734
684,"providence-warwick, ri-ma",33106,130443
685,"provo-orem, ut",23196,107223
686,"pueblo, co",23098,112361
687,"pullman, wa",20201,34506
688,"punta gorda, fl",46684,20369
689,"quincy, il-mo",29049,39949
690,"racine, wi",22808,76760
691,"raleigh, nc",38494,474069
692,"rapid city, sd",31299,77503
693,"raymondville, tx",13007,10880
694,"reading, pa",15654,88375
695,"red bluff, ca",16963,14539
696,"red wing, mn",31881,16320
697,"redding, ca",30199,92590
698,"reno, nv",34475,255601
699,"rexburg, id",14833,29400
700,"richmond, in",23827,35342
701,"richmond, va",33549,230436
702,"richmond-berea, ky",21859,26091
703,"rio grande city, tx",16469,14511
704,"riverside-san bernardino-ontario, ca",22452,244051
705,"riverton, wy",28734,10772
706,"roanoke rapids, nc",23600,14320
707,"roanoke, va",27006,99143
708,"rochelle, il",24988,9052
709,"rochester, mn",39518,118935
710,"rochester, ny",23246,205695
711,"rock springs, wy",33468,22653
712,"rockford, il",25517,145609
713,"rockingham, nc",20999,8659
714,"rocky mount, nc",24480,53922
715,"rolla, mo",21700,20431
716,"rome, ga",25822,36716
717,"roseburg, or",27155,23479
718,"roswell, nm",22119,47551
719,"russellville, ar",20819,29175
720,"ruston, la",18391,21854
721,"rutland, vt",30235,15074
722,"sacramento--roseville--arden-arcade, ca",34564,252662
723,"safford, az",20706,9983
724,"saginaw, mi",16960,48115
725,"salem, oh",27002,11612
726,"salem, or",27454,174365
727,"salina, ks",27745,46550
728,"salinas, ca",21504,155465
729,"salisbury, md-de",21990,32935
730,"salt lake city, ut",36779,200567
731,"san angelo, tx",28910,101004
732,"san antonio-new braunfels, tx",29649,818731
733,"san diego-carlsbad, ca",49776,76916
734,"san francisco-oakland-hayward, ca",48607,491261
735,"san jose-sunnyvale-santa clara, ca",56018,434954
736,"san luis obispo-paso robles-arroyo grande, ca",35340,32419
737,"sandpoint, id",25724,8931
738,"sandusky, oh",23389,24564
739,"sanford, nc",22981,30085
740,"santa cruz-watsonville, ca",30261,59232
741,"santa fe, nm",37081,84683
742,"santa maria-santa barbara, ca",33571,99313
743,"santa rosa, ca",36935,176753
744,"sault ste. marie, mi",24000,13420
745,"savannah, ga",25664,144464
746,"sayre, pa",29424,5366
747,"scottsbluff, ne",25115,14556
748,"scottsboro, al",25467,14436
749,"scranton--wilkes-barre--hazleton, pa",21379,47404
750,"searcy, ar",20772,23660
751,"seattle-tacoma-bellevue, wa",53030,373222
752,"sebastian-vero beach, fl",36342,21810
753,"sebring, fl",24623,10600
754,"sedalia, mo",22557,21629
755,"selinsgrove, pa",23054,5902
756,"selma, al",17773,17231
757,"seneca falls, ny",30259,8622
758,"seneca, sc",27327,8533
759,"sevierville, tn",24350,17117
760,"seymour, in",24378,19959
761,"shawano, wi",26347,8935
762,"shawnee, ok",23138,31436
763,"sheboygan, wi",25730,47965
764,"shelby, nc",23751,20026
765,"shelbyville, tn",19180,22101
766,"shelton, wa",19965,10655
767,"sheridan, wy",32358,17940
768,"sherman-denison, tx",24484,34765
769,"show low, az",25014,11442
770,"shreveport-bossier city, la",26312,127635
771,"sidney, oh",26585,20449
772,"sierra vista-douglas, az",24637,29619
773,"sikeston, mo",24289,16023
774,"silver city, nm",23715,9386
775,"sioux city, ia-ne-sd",26982,82651
776,"sioux falls, sd",33065,183793
777,"snyder, tx",24924,11023
778,"somerset, ky",22751,11585
779,"somerset, pa",26105,5855
780,"sonora, ca",25319,4844
781,"south bend-mishawaka, in-mi",23926,76194
782,"spartanburg, sc",25570,37399
